,Code,Company
0,A2M,The a2 Milk Company Ltd
1,AAA,Betashares Australian High Interest Cash ETF
2,ABC,Adbri Ltd
3,ABP,Abacus Property Group
4,AFI,Australian Foundation Investment Company Ltd
5,AGL,AGL Energy Ltd
6,AIA,Auckland International Airport Ltd
7,ALD,Ampol Ltd
8,ALL,Aristocrat Leisure Ltd
9,ALQ,Als Ltd
10,ALU,Altium Ltd
11,ALX,Atlas Arteria
12,AMC,Amcor Plc
13,AMP,AMP Ltd
14,ANN,Ansell Ltd
15,ANZ,Australia and New Zealand Banking Group Ltd
16,APA,APA Group
17,APE,Eagers Automotive Ltd
18,APT,Afterpay Ltd
19,APX,Appen Ltd
20,ARB,ARB Corporation Ltd
21,ARG,Argo Investments Ltd
22,AST,Ausnet Services Ltd
23,ASX,ASX Ltd
24,AWC,Alumina Ltd
25,AZJ,Aurizon Holdings Ltd
26,BAP,Bapcor Ltd
27,BEN,Bendigo and Adelaide Bank Ltd
28,BGA,Bega Cheese Ltd
29,BHP,BHP Group Ltd
30,BIN,Bingo Industries Ltd
31,BKW,Brickworks Ltd
32,BLD,Boral Ltd
33,BOQ,Bank of Queensland Ltd
34,BPT,Beach Energy Ltd
35,BRG,Breville Group Ltd
36,BSL,Bluescope Steel Ltd
37,BWP,BWP Trust
38,BXB,Brambles Ltd
39,CAR,Carsales.com Ltd
40,CBA,Commonwealth Bank of Australia
41,CCL,Coca-Cola Amatil Ltd
42,CCP,Credit Corp Group Ltd
43,CDA,Codan Ltd
44,CGF,Challenger Ltd
45,CHC,Charter Hall Group
46,CHN,Chalice Mining Ltd
47,CIA,Champion Iron Ltd
48,CIM,Cimic Group Ltd
49,CLW,Charter Hall Long Wale REIT
50,CMW,Cromwell Property Group
51,CNU,Chorus Ltd
52,COH,Cochlear Ltd
53,COL,Coles Group Ltd
54,CPU,Computershare Ltd
55,CQR,Charter Hall Retail REIT
56,CSL,CSL Ltd
57,CSR,CSR Ltd
58,CTD,Corporate Travel Management Ltd
59,CWN,Crown Resorts Ltd
60,CWY,Cleanaway Waste Management Ltd
61,DEG,De Grey Mining Ltd
62,DHG,Domain Holdings Australia Ltd
63,DMP,Domino's PIZZA Enterprises Ltd
64,DOW,Downer Edi Ltd
65,DRR,Deterra Royalties Ltd
66,DXS,Dexus
67,EBO,Ebos Group Ltd
68,ELD,Elders Ltd
69,EML,EML Payments Ltd
70,EVN,Evolution Mining Ltd
71,EVT,Event Hospitality and Entertainment Ltd
72,FBU,Fletcher Building Ltd
73,FLT,Flight Centre Travel Group Ltd
74,FMG,Fortescue Metals Group Ltd
75,FPH,Fisher & Paykel Healthcare Corporation Ltd
76,GMG,Goodman Group
77,GNE,Genesis Energy Ltd
78,GOZ,Growthpoint Properties Australia
